Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,128,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,622,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,"1,571",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,"4,363",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,"10,436",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,"16,972",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,"19,779",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,"20,459",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,2,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All ages,"74,332",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,28,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,68,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,154,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,436,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,"1,610",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,"3,571",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,"4,744",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,"4,400",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All ages,"15,012",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,63,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,257,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,665,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,"1,921",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,"4,063",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,"6,159",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,"5,644",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,"4,538",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All ages,"23,312",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory failure,J96,0-24,112,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory failure,J96,25-34,440,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory failure,J96,35-44,"1,116",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory failure,J96,45-54,"3,287",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory failure,J96,55-64,"7,941",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory failure,J96,65-74,"13,801",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory failure,J96,75-84,"16,430",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory failure,J96,85+,"16,472",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory failure,J96,Not stated,3,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory failure,J96,All ages,"59,602",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory arrest,R09.2,0-24,8,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory arrest,R09.2,25-34,24,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory arrest,R09.2,35-44,69,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory arrest,R09.2,45-54,170,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory arrest,R09.2,55-64,398,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory arrest,R09.2,65-74,726,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory arrest,R09.2,75-84,954,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory arrest,R09.2,85+,"1,201",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Respiratory arrest,R09.2,All ages,"3,550",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,23,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,55,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,128,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,321,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,803,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,"1,313",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,"1,661",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,"1,893",
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,
9/7/2020,2/1/2020,9/6/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All ages,"6,197",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,17,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,111,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,492,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,"1,660",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,"4,645",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,"8,447",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,"10,594",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,85+,"12,480",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,2,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,All ages,"38,448",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,2,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,27,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,100,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,459,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,"1,798",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,"4,063",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,"5,960",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,85+,"7,285",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,2,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,All ages,"19,696",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrest,I46,0-24,54,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrest,I46,25-34,200,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrest,I46,35-44,507,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrest,I46,45-54,"1,430",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrest,I46,55-64,"3,158",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrest,I46,65-74,"4,940",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrest,I46,75-84,"5,455",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrest,I46,85+,"5,974",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrest,I46,Not stated,1,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrest,I46,All ages,"21,719",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,10,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,25,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,64,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,248,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,788,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,"1,938",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,"3,181",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,"4,527",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All ages,"10,781",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Heart failure,I50,0-24,5,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Heart failure,I50,25-34,42,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Heart failure,I50,35-44,87,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Heart failure,I50,45-54,295,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Heart failure,I50,55-64,970,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Heart failure,I50,65-74,"1,978",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Heart failure,I50,75-84,"3,172",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Heart failure,I50,85+,"4,885",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Heart failure,I50,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Heart failure,I50,All ages,"11,434",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,7,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,26,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,86,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,294,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,945,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,"1,898",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,"2,455",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,"2,662",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,All ages,"8,374",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,44,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,111,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,230,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,545,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,"1,241",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,"2,139",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,"2,368",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,"2,891",
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,
9/7/2020,2/1/2020,9/6/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All ages,"9,569",
9/7/2020,2/1/2020,9/6/2020,US,Sepsis,Sepsis,A40-A41,0-24,34,
9/7/2020,2/1/2020,9/6/2020,US,Sepsis,Sepsis,A40-A41,25-34,148,
9/7/2020,2/1/2020,9/6/2020,US,Sepsis,Sepsis,A40-A41,35-44,386,
9/7/2020,2/1/2020,9/6/2020,US,Sepsis,Sepsis,A40-A41,45-54,"1,163",
9/7/2020,2/1/2020,9/6/2020,US,Sepsis,Sepsis,A40-A41,55-64,"2,664",
9/7/2020,2/1/2020,9/6/2020,US,Sepsis,Sepsis,A40-A41,65-74,"4,284",
9/7/2020,2/1/2020,9/6/2020,US,Sepsis,Sepsis,A40-A41,75-84,"3,919",
9/7/2020,2/1/2020,9/6/2020,US,Sepsis,Sepsis,A40-A41,85+,"2,947",
9/7/2020,2/1/2020,9/6/2020,US,Sepsis,Sepsis,A40-A41,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,US,Sepsis,Sepsis,A40-A41,All ages,"15,545",
9/7/2020,2/1/2020,9/6/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,26,
9/7/2020,2/1/2020,9/6/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,39,
9/7/2020,2/1/2020,9/6/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,96,
9/7/2020,2/1/2020,9/6/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,302,
9/7/2020,2/1/2020,9/6/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,"1,098",
9/7/2020,2/1/2020,9/6/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,"2,097",
9/7/2020,2/1/2020,9/6/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,"2,420",
9/7/2020,2/1/2020,9/6/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,"1,956",
9/7/2020,2/1/2020,9/6/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,All ages,"8,034",
9/7/2020,2/1/2020,9/6/2020,US,Diabetes,Diabetes,E10-E14,0-24,46,
9/7/2020,2/1/2020,9/6/2020,US,Diabetes,Diabetes,E10-E14,25-34,183,
9/7/2020,2/1/2020,9/6/2020,US,Diabetes,Diabetes,E10-E14,35-44,655,
9/7/2020,2/1/2020,9/6/2020,US,Diabetes,Diabetes,E10-E14,45-54,"1,957",
9/7/2020,2/1/2020,9/6/2020,US,Diabetes,Diabetes,E10-E14,55-64,"4,690",
9/7/2020,2/1/2020,9/6/2020,US,Diabetes,Diabetes,E10-E14,65-74,"7,687",
9/7/2020,2/1/2020,9/6/2020,US,Diabetes,Diabetes,E10-E14,75-84,"7,611",
9/7/2020,2/1/2020,9/6/2020,US,Diabetes,Diabetes,E10-E14,85+,"5,652",
9/7/2020,2/1/2020,9/6/2020,US,Diabetes,Diabetes,E10-E14,Not stated,2,
9/7/2020,2/1/2020,9/6/2020,US,Diabetes,Diabetes,E10-E14,All ages,"28,483",
9/7/2020,2/1/2020,9/6/2020,US,Obesity,Obesity,E65-E68,0-24,89,
